date,keyword,trend,trend_ma,yoy_idx,z_score
2020-08-09,cosmetics,6,,,
2020-08-16,cosmetics,6,6.0,,
2020-08-23,cosmetics,6,6.0,,
2020-08-30,cosmetics,6,6.0,,
2020-09-06,cosmetics,6,6.0,,
2020-09-13,cosmetics,6,6.0,,
2020-09-20,cosmetics,6,6.0,,
2020-09-27,cosmetics,6,6.0,,
2020-10-04,cosmetics,6,6.0,,
2020-10-11,cosmetics,7,6.25,,2.8284271247461907
2020-10-18,cosmetics,6,6.25,,2.000000000000001
2020-10-25,cosmetics,6,6.25,,1.63299316185545
2020-11-01,cosmetics,5,6.0,,-0.5773502691896256
2020-11-08,cosmetics,7,6.0,,-0.5773502691896256
2020-11-15,cosmetics,9,6.75,,2.886751345948129
2020-11-22,cosmetics,11,8.0,,3.0644838802829373
2020-11-29,cosmetics,8,8.75,,2.565866086754751
2020-12-06,cosmetics,8,9.0,,2.050500865875173
2020-12-13,cosmetics,7,8.5,,1.3147285614905317
2020-12-20,cosmetics,6,7.25,,0.14886458551295773
2020-12-27,cosmetics,7,7.0,,-0.15546441486729473
2021-01-03,cosmetics,7,6.75,,-0.43859872255589505
2021-01-10,cosmetics,7,6.75,,-0.49236596391733134
2021-01-17,cosmetics,6,6.75,,-0.5508276781891472
2021-01-24,cosmetics,6,6.5,,-0.8891084489487745
2021-01-31,cosmetics,7,6.5,,-0.9866660700433739
2021-02-07,cosmetics,7,6.5,,-0.9448409262916978
2021-02-14,cosmetics,6,6.5,,-0.8014800153449739
2021-02-21,cosmetics,7,6.75,,-0.39487359486949286
2021-02-28,cosmetics,7,6.75,,-0.23354968324845773
2021-03-07,cosmetics,7,6.75,,0.0966736489045673
2021-03-14,cosmetics,7,7.0,,1.6977493752543966
2021-03-21,cosmetics,6,6.75,,0.42008402520842447
2021-03-28,cosmetics,6,6.5,,-1.0690449676497504
2021-04-04,cosmetics,6,6.25,,-1.9639610121239957
2021-04-11,cosmetics,6,6.0,,-2.2269224668743144
2021-04-18,cosmetics,6,6.0,,-1.7546560158590152
2021-04-25,cosmetics,6,6.0,,-1.4517471271249653
2021-05-02,cosmetics,6,6.0,,-1.231041801697166
2021-05-09,cosmetics,6,6.0,,-1.0571882797418581
2021-05-16,cosmetics,6,6.0,,-0.8944271909999243
2021-05-23,cosmetics,6,6.0,,-0.7518094115561201
2021-05-30,cosmetics,6,6.0,,-0.6201736729460501
2021-06-06,cosmetics,6,6.0,,-0.5222329678671089
2021-06-13,cosmetics,6,6.0,,-0.42008402520843685
2021-06-20,cosmetics,6,6.0,,-0.3015113445778772
2021-06-27,cosmetics,6,6.0,,
2021-07-04,cosmetics,10,7.0,,3.3166247903554757
2021-07-11,cosmetics,13,8.75,,3.105951458231115
2021-07-18,cosmetics,13,10.5,,2.745446171257191
2021-07-25,cosmetics,12,12.0,,2.4089961898559777
2021-08-01,cosmetics,12,12.5,,1.958839644996715
2021-08-08,cosmetics,12,12.25,200.0,1.499633923118404
2021-08-15,cosmetics,11,11.75,183.33333333333331,1.1042352025153188
2021-08-22,cosmetics,12,11.75,200.0,0.934708118844417
2021-08-29,cosmetics,12,11.75,200.0,0.7883255068895272
2021-09-05,cosmetics,13,12.0,216.66666666666666,0.7457173294646988
2021-09-12,cosmetics,13,12.5,216.66666666666666,0.8257877672420816
2021-09-19,cosmetics,12,12.5,200.0,0.7476745169084599
2021-09-26,cosmetics,12,12.5,200.0,0.7354542322242462
2021-10-03,cosmetics,12,12.25,200.0,0.420903302486346
2021-10-10,cosmetics,13,12.25,185.71428571428572,0.28284271247459203
2021-10-17,cosmetics,12,12.25,200.0,0.21483446221180727
2021-10-24,cosmetics,11,12.0,183.33333333333331,-0.5232045649262974
2021-10-31,cosmetics,10,11.5,200.0,-1.7780017780025237
2021-11-07,cosmetics,12,11.25,171.42857142857142,-2.013995972011969
2021-11-14,cosmetics,12,11.25,133.33333333333331,-1.6858544608469765
2021-11-21,cosmetics,15,12.25,136.36363636363635,0.47036043419177914
2021-11-28,cosmetics,14,13.25,175.0,1.993270148278134
2021-12-05,cosmetics,12,13.25,150.0,1.65930827899989
2021-12-12,cosmetics,11,13.0,157.14285714285714,1.1338934190276573
2021-12-19,cosmetics,11,12.0,183.33333333333331,-0.3155972015488958
2021-12-26,cosmetics,12,11.5,171.42857142857142,-0.9385325050638256
2022-01-02,cosmetics,10,11.0,142.85714285714286,-1.378294616049907
2022-01-09,cosmetics,10,10.75,142.85714285714286,-1.4035131799278224
2022-01-16,cosmetics,9,10.25,150.0,-1.6025581958494666
2022-01-23,cosmetics,9,9.5,150.0,-1.8480076405971255
2022-01-30,cosmetics,10,9.5,142.85714285714286,-1.5321562116011949
2022-02-06,cosmetics,10,9.5,142.85714285714286,-1.3052121142042346
2022-02-13,cosmetics,9,9.5,150.0,-1.098798370735855
2022-02-20,cosmetics,9,9.5,128.57142857142858,-0.9481610741671676
2022-02-27,cosmetics,8,9.0,114.28571428571428,-1.1887821221676123
2022-03-06,cosmetics,9,8.75,128.57142857142858,-1.332606065637746
2022-03-13,cosmetics,8,8.5,114.28571428571428,-1.4430040790808683
2022-03-20,cosmetics,8,8.25,133.33333333333331,-1.5554275420956616
2022-03-27,cosmetics,9,8.5,150.0,-1.1215345385918412
2022-04-03,cosmetics,8,8.25,133.33333333333331,-1.3736056394869431
2022-04-10,cosmetics,7,8.0,116.66666666666667,-1.590412451128993
2022-04-17,cosmetics,9,8.25,150.0,-0.9716656205775667
2022-04-24,cosmetics,9,8.25,150.0,-0.8230548917531519
2022-05-01,cosmetics,8,8.25,133.33333333333331,-0.6910947404651433
2022-05-08,cosmetics,7,8.25,116.66666666666667,-0.5710915448163476
2022-05-15,cosmetics,8,8.0,133.33333333333331,-1.270639657678616
2022-05-22,cosmetics,8,7.75,133.33333333333331,-2.000000000000665
2022-05-29,cosmetics,8,7.75,133.33333333333331,-1.7677669529670472
2022-06-05,cosmetics,9,8.25,150.0,0.48336824452305344
2022-06-12,cosmetics,8,8.25,133.33333333333331,0.48336824452305344
2022-06-19,cosmetics,9,8.5,150.0,1.6434520313783882
2022-06-26,cosmetics,9,8.75,150.0,2.064741604835647
2022-07-03,cosmetics,9,8.75,90.0,1.6329931618558142
2022-07-10,cosmetics,9,9.0,69.23076923076923,1.8593393604030133
2022-07-17,cosmetics,9,9.0,69.23076923076923,1.507556722888993
2022-07-24,cosmetics,9,9.0,75.0,1.260252075625332
2022-07-31,cosmetics,9,9.0,75.0,1.0690449676497904
2022-08-07,cosmetics,12,9.75,100.0,1.9932701482783097
2022-08-14,cosmetics,10,10.0,90.9090909090909,1.9508524400166194
2022-08-21,cosmetics,9,10.0,75.0,1.68394975516512
